,Original,Summary
273,Goto  gojek tokopedia  biaya layanannya gak masuk akal  Mending Pindah lazada grab enaknya,Goto  gojek tokopedia  biaya layanannya gak masuk akal  Mending Pindah lazada grab enaknya
274,belibet    gue order barang tanggal 17 mei 30 mei    perhatikan rekanan exspedisinya   pelayanan  bintang 1   ulah rekanan expedisi bikin kecewa,bintang 1   ulah rekanan expedisi bikin kecewa
275,Apaka samsung a51 tukar ,
276, toped bagus  Pesanan terlambat butuh 7 menunggu penyelesaian komplain,Pesanan terlambat butuh 7 menunggu penyelesaian komplain
277,,
278,Harga mahal  biaya administrasinya,Harga mahal  biaya administrasinya
279,Mantap,Mantap
280,Ok,Ok
281,Pesanan dibatalkan Tokopedia pembayaran pakai rekening akun  promo promonya 20rb  ongkir biaya transaksi,Pesanan dibatalkan Tokopedia pembayaran pakai rekening akun  promo promonya 20rb  ongkir biaya transaksi
282,love tokped,love tokped
283,Mantap gamblang,Mantap gamblang
284,Prosesnya barang mahal  gratis ongkir abal2  biaya lain2  reguler bebas ongkir proses nya bandingkan ekonomi  parah tokopedia  Penjual Mengabaikan pembelian konsumen ,Prosesnya barang mahal  gratis ongkir abal2  biaya lain2  reguler bebas ongkir proses nya bandingkan ekonomi  parah tokopedia  Penjual Mengabaikan pembelian konsumen 
285,Gila aja udah biaya aplikasi 2rb  ditambah lg biaya layanan seribu    Thn dpn biaya apalg  parah aja skrg toped  promo jg udah ga adapelit promo ,Thn dpn biaya apalg 
286,jos,jos
287,Fitur tukar nya gk,Fitur tukar nya gk
288,Ok,Ok
289,Permisi mudah mudahan aplikasi membatu belanja barang2,Permisi mudah mudahan aplikasi membatu belanja barang2
290,,
291,ok banget,ok banget
292,gak WIB tokopedia pelit bangkrut yaaaa  hahahaha,gak WIB tokopedia pelit bangkrut yaaaa  hahahaha
293,Kecewa tokopedia  udah pembayaran CC mahal  Cashback yg dijanjikan kunjung  invoice cashback yg dj  barang  cashback invoice hilang  kunjung masuk akun gopay cashbacknya  PAYAH  KECEWA PELANG TOKOPEDIA,Kecewa tokopedia  udah pembayaran CC mahal  Cashback yg dijanjikan kunjung  invoice cashback yg dj  barang  cashback invoice hilang  kunjung masuk akun gopay cashbacknya  PAYAH  KECEWA PELANG TOKOPEDIA
294,kebutuhan tersedia mudah tinggal klik barang,kebutuhan tersedia mudah tinggal klik barang
295,kredit HP aja ribet bener  udah pengajuan 2 kali pake home Credit email batalkan  aplikasi tokopedia nya menunggu konfirmasi  yg yg mna  data bagus gak nunggak  Chet cs tokopedia slow respon ,kredit HP aja ribet bener  udah pengajuan 2 kali pake home Credit email batalkan  aplikasi tokopedia nya menunggu konfirmasi  yg yg mna  data bagus gak nunggak  Chet cs tokopedia slow respon 
296,perbanyak promo promo nya,perbanyak promo promo nya
297,Maaf jasa Apl nambah  trs utk blj 20k berlaku wilayah  biaya mahal maaf gk berlangganan ,Maaf jasa Apl nambah  trs utk blj 20k berlaku wilayah  biaya mahal maaf gk berlangganan 
298,Mantap sih ni ecommerce  sat set dah pokoknya,sat set dah pokoknya
299,Sangatt baguss,Sangatt baguss
300,lupa pin verifikasi masuk  disuruh pilih metode pilihannya  solusinya,lupa pin verifikasi masuk  disuruh pilih metode pilihannya  solusinya
301,toped oh toped kesini kesana kek nya  maaf ya uninstal,toped oh toped kesini kesana kek nya  maaf ya uninstal
302,Semenjak gratis ongkir minimal belanja 10rb  20rb males belanja ditambah jasa aplikasi 2rb check out ,Semenjak gratis ongkir minimal belanja 10rb  20rb males belanja ditambah jasa aplikasi 2rb check out 
303,Udah bad service,Udah bad service
304,Burik aman,Burik aman
305,mantap ,mantap 
306,AJIBUN wa MANTABUN,AJIBUN wa MANTABUN
307,Aplikasi gak bermutu topup gagal mulu  uang saldo refund  ditarik bank kena changer  4x gagal mulu dahlahh,Aplikasi gak bermutu topup gagal mulu  uang saldo refund  ditarik bank kena changer  4x gagal mulu dahlahh
308,Biaya jasa biaya aplikasi,Biaya jasa biaya aplikasi
309,Tokopedia jaya jaya,Tokopedia jaya jaya
310,Tolong kerjasamanya ekspedisi pakai si cepat  orang usaha berantakan  recommended  lelet ,Tolong kerjasamanya ekspedisi pakai si cepat  orang usaha berantakan  recommended  lelet 
311,barang tersedia android  ,barang tersedia android  
312,bintang   gegara toktodpedia data bocor  no wa pesan masuk dikenal  Terimakasih,no wa pesan masuk dikenal  Terimakasih
313,tolong seller pakai ANTERAJA  pesanan berminggu minggu  barang urgent  pesan takut nya jasa kirim nya serba salah  tolong tokopedia banned aja jasa kurir ANTERAJA merugikan ,tolong tokopedia banned aja jasa kurir ANTERAJA merugikan 
314,pembeli harga mahal,pembeli harga mahal
315,Cashback  gratis ongkirnya pelit  kebanyakan biaya jasa  shopee aja jasa 1000  msh masuk akal  tokped 3000  uda kek bayar parkir mobil  klo checkout 2 3 toko berbeda  gratis ongkir bs 1 toko doank  mending shopee  mo checkout 10 toko berbeda  gratis ongkirnya bs diterapin 10 tokonya  tokopedia payah ,Cashback  gratis ongkirnya pelit  kebanyakan biaya jasa  shopee aja jasa 1000  msh masuk akal  tokped 3000  uda kek bayar parkir mobil  klo checkout 2 3 toko berbeda  gratis ongkir bs 1 toko doank  mending shopee  mo checkout 10 toko berbeda  gratis ongkirnya bs diterapin 10 tokonya  tokopedia payah 
316,Biaya layanannya cicilannya mahal bgt ,Biaya layanannya cicilannya mahal bgt 
317,belanja kena biaya 3k  aja kek parkir  Maruk lu  mending pindah marketplace,aja kek parkir 
318,Terima kasih  Karna menambah biaya jasa aplikasinya  bye T  L  LPEDIA,Terima kasih  Karna menambah biaya jasa aplikasinya  bye T  L  LPEDIA
319,kesini mahalSekarang dibebani Biaya Aplikasi  biaya layanan biaya bayar via retail,kesini mahalSekarang dibebani Biaya Aplikasi  biaya layanan biaya bayar via retail
320,Gajelas Tokopedia penipu hehe raib uang 2jutaaaaaaaaaaaa,Gajelas Tokopedia penipu hehe raib uang 2jutaaaaaaaaaaaa
321,Aplikasi belanja mantap,Aplikasi belanja mantap
322,bagus memuaskan,bagus memuaskan
323,Mohon perbaiki ,Mohon perbaiki 
324,ok,ok
325,nyoba  blum tau hasilnya,nyoba  blum tau hasilnya
326,Pindah sebelah aja deh,Pindah sebelah aja deh
327,Dah ga andalan  kalah toko sebelah,Dah ga andalan  kalah toko sebelah
328,voucher pulsa utk yg transaksi pulsa  voucher pulsa  Gara2 lupa ngeklik pas beli pulsa jd gk dpt diskon  Udah gitu ngeselin vouchernya muncul yg  udah bbrp pakai toped  VOUCHERNYA NGGAK DIPAKAI DIMUNCULIN ,Gara2 lupa ngeklik pas beli pulsa jd gk dpt diskon 
329,tokopedia kereeen belanja lbh hemat,tokopedia kereeen belanja lbh hemat
330,,
331,Aplikasinya kagak sebagus,Aplikasinya kagak sebagus
332,mahal biaya  casback ny s     ,mahal biaya  casback ny s     
333,Semoga toko pedia membantu yg membutuhkan  sukses jaya mu Toko pedia,Semoga toko pedia membantu yg membutuhkan  sukses jaya mu Toko pedia
334,Parah ditoko sebelah biaya pesanan seribu  tokped pake biaya jasa aplikasi 2 rb  totalnya 3 rb Gw Uda males belanja tokped  byk biayanya  mending toko sebelah Aplikasi buatan negeri mencekik konsumen negeri  masyarakat blm pulih pandemi  dicekik pake biaya macem2 kasih promo,Parah ditoko sebelah biaya pesanan seribu  tokped pake biaya jasa aplikasi 2 rb  totalnya 3 rb Gw Uda males belanja tokped  byk biayanya  mending toko sebelah Aplikasi buatan negeri mencekik konsumen negeri  masyarakat blm pulih pandemi  dicekik pake biaya macem2 kasih promo
335,toped mkin gk biaya tambhan kurir 2000 sesuai nominal aplikasinya auto rate  buruk gua kasih bintang 1,toped mkin gk biaya tambhan kurir 2000 sesuai nominal aplikasinya auto rate  buruk gua kasih bintang 1
336,Dichek out biaya 56500 eh invoice 59500 biaya aplikasi  kurir 60000  parah tokopedia  nominalnya kejelasan biaya  Chek out  cuman invoice  biaya aplikasi lgi  kadang dipotong pendapatan penjualnya ,biaya aplikasi lgi 
337,Mantab siih,Mantab siih
338,pesanan gagalkan udah gratis ongkir 50000,pesanan gagalkan udah gratis ongkir 50000
339,rejeki Tokopedia,rejeki Tokopedia
340,mantap,mantap
341,Toko pedia bohongtidak gratis ongkir sekalisaya pindah beli sate aja mantap pokoknya bikin nagihhh ,Toko pedia bohongtidak gratis ongkir sekalisaya pindah beli sate aja mantap pokoknya bikin nagihhh 
342,Nyesel  cashback kemarin  masuk _ udah pake code promo  PROMO PHP   ,PROMO PHP  
343,mudah,mudah
344,perbaikan tokopedia terkait keterlambatan pengiriman kurir  berulang berulang,berulang berulang
345,Divaz,Divaz
346,sampah,sampah
347,proses cepat ,proses cepat 
348,langganan plus  klo kota dapatnya regular  pengiriman kurirpun utamakan  kadang tinggal kirim pembeli tunda,langganan plus  klo kota dapatnya regular  pengiriman kurirpun utamakan  kadang tinggal kirim pembeli tunda
349,membantu,membantu
350,pindah toko sbelah  biaya tambahan aplikasi biaya layanan tdk sebanding dg kualitas layanan dr Tokopedia  ,pindah toko sbelah  biaya tambahan aplikasi biaya layanan tdk sebanding dg kualitas layanan dr Tokopedia  
351,mohon penjualan produk digital tambahakan opsi gratis ongkir  jaman digital bnyk user transaksi produk digital tokopedia,mohon penjualan produk digital tambahakan opsi gratis ongkir  jaman digital bnyk user transaksi produk digital tokopedia
352,Ongkir enggan belanja,Ongkir enggan belanja
353,SUSAH DAFTAR TOKOPEDIA CARE    HAPUS AJA LW SUSAH MENDAFTAR TUH   ,SUSAH DAFTAR TOKOPEDIA CARE    HAPUS AJA LW SUSAH MENDAFTAR TUH   
354,ok,ok
355,Aplikasi belanja ribet bikin pusing  Hub cs susah batalkan pesanan susah  Giliran promo cancel aplikasi alasanya salah hagra wkwkkwkwkw  GA RUGI GA PROMO   TETEPLAZADASELALUDIHATI,Hub cs susah batalkan pesanan susah 
356,kecewa langganan plus tp ga manfaatnya  ga bedanya langganan sm ga langganan  berasa ditipu  langganan plus geratis ongkir eh ga twnya sm aj bayar sm aj ky ga langganan  trimakasi tukang tipu,kecewa langganan plus tp ga manfaatnya  ga bedanya langganan sm ga langganan  berasa ditipu  langganan plus geratis ongkir eh ga twnya sm aj bayar sm aj ky ga langganan  trimakasi tukang tipu
357,CS toped tdk profesional  tdk mengerti dlm menangani  Hp sy kena Hex  krn smua aplikasi sy hapus HP sy Factory Reset  Stlh download aplikasi toped  sy tdk login dgn alasan dihapus  Sy sdh berkali² kpd CS toped hp kena Hex  hrs sy reset smua  CS toped ga ngerti²  Stlh berkali²  Mrk copy KTP  buku tabungan  hubungannya ecommer copy ktp  buku tabungan    Lg sy slalu byr via gopay credit card  ,CS toped ga ngerti² 
358,terimakasih layanan yg cepat,terimakasih layanan yg cepat
359,mudah membantu,mudah membantu
360,Akun ga menikmati diskon ongkir minimal 20rb WIB  semenjak  mengecewakan,Akun ga menikmati diskon ongkir minimal 20rb WIB  semenjak  mengecewakan
361,good,good
362,naikkan bintang pesanan kali berhasil  dikembalikan penjual 2 pesanan  Terima kasih  Tkb  kurirnya  Insya Allah bintangnya diskon ongkir Rp 40K pembelian produk beda pulau ,Insya Allah bintangnya diskon ongkir Rp 40K pembelian produk beda pulau 
363,Hai tokopedia alamt no tlp buyer nya jado xxxx kendala gak tlp buyer  pliss perbaiiki  kadang kendala urgent yg hub si buyer,Hai tokopedia alamt no tlp buyer nya jado xxxx kendala gak tlp buyer  pliss perbaiiki  kadang kendala urgent yg hub si buyer
364,top,top
365,jos,jos
366,mantabbbs  very fast,mantabbbs  very fast
367,kesini bukanya bagus tp jelek eror,kesini bukanya bagus tp jelek eror
368,good,good
369,biaya tambahan jasa pengiriman,biaya tambahan jasa pengiriman
370,mantap,mantap
371,bagus,bagus
372,PERNANDO NANDO PERANDO,PERNANDO NANDO PERANDO
373,gk bayar pakai link aja ya ,gk bayar pakai link aja ya 
374,Pengirimannya nga lamban males mending pakai aplikasi  estimasi,Pengirimannya nga lamban males mending pakai aplikasi  estimasi
375,KURIR NYA BUSUK  ONLINE SHOP PENGIRIMAN TERLAMA,KURIR NYA BUSUK  ONLINE SHOP PENGIRIMAN TERLAMA
376,mantap,mantap
377,mudah belanja dg tokopedia,mudah belanja dg tokopedia
378,Normal  bug  Notifikasi ga dihapus ,bug 
379,knp hbs update kesini lemot yg chat aja gk push iklan jalan kepotong  pembeli aja gk tp sekalinya jualan potonganya gk kira2  penjual saingan habis potongan penjualan doank  keseringan merugi,knp hbs update kesini lemot yg chat aja gk push iklan jalan kepotong  pembeli aja gk tp sekalinya jualan potonganya gk kira2  penjual saingan habis potongan penjualan doank  keseringan merugi
380,ngasih ulasan belanja aja klik2 ribet marketplace ,ngasih ulasan belanja aja klik2 ribet marketplace 
381,Aplikasi tokopedia buruk ,Aplikasi tokopedia buruk 
382,Mahal bgt biaya adminnya ampe 3rb pertransaksi  lg gratis ongkir cuman toko aja pertransaksi  Hadeuhhhhh,lg gratis ongkir cuman toko aja pertransaksi 
383,belanja praktis efisien,belanja praktis efisien
384,pilih kasih banget kalo akunya ga bsa menikmati gratis ongkir 20rb akun  kuotanya jg full belom dipake  Udah biaya layanan JD 2rb  Kali sorry gw uninstal ,kuotanya jg full belom dipake 
385,ongkie nya lucu  barang 5000 ongkir nya 90 rb  promonya bebas ongkir  hhhhhh tokopedia taik,ongkie nya lucu  barang 5000 ongkir nya 90 rb  promonya bebas ongkir  hhhhhh tokopedia taik
386,Topup gopay gk masuk  checkout bayar pake  Auto uninstall  pindah kesebelah,Auto uninstall  pindah kesebelah
387,Baguss,Baguss
388,ok,ok
389,penipuan tokopedia kode verifikasi   tolong tokopedia perketat keamanan privasi,penipuan tokopedia kode verifikasi   tolong tokopedia perketat keamanan privasi
390,suka pakai tokopedia  belanja aja  paylaternya blokir  telat bayarnya  ya dah gimana  hapus aplikasinyathanks ,suka pakai tokopedia  belanja aja  paylaternya blokir  telat bayarnya  ya dah gimana  hapus aplikasinyathanks 
391,Tokopedia sekrng udah pelit voucer  udh mls memakai tokped ,Tokopedia sekrng udah pelit voucer  udh mls memakai tokped 
392,Alamatnya udh bener titiknya banget ya  fix diapus fitur titik nya  biar ga nyusahin,Alamatnya udh bener titiknya banget ya  fix diapus fitur titik nya  biar ga nyusahin
393,kerennn,kerennn
394,update aneh  buka ulasan pesan nunggu proses download pasri gagal  Aplikasi error sononya  Komplain gtu  aja  biaya gak  kena tambahan 3000 tambahan udah seller ,kena tambahan 3000 tambahan udah seller 
395,Gratis ongkir  tp bayar 27k ,Gratis ongkir  tp bayar 27k 
396,good banget all fasilitasnya,good banget all fasilitasnya
397,aplikasi jelek  jelek  dibanding apk sebelah,dibanding apk sebelah
398,aplikasi bagus,aplikasi bagus
399,terbantu banget makasih loh,terbantu banget makasih loh
400,,
401,membantu,membantu
402,Tolong tambahkan metode pembayarannya mudah membeli barang ,Tolong tambahkan metode pembayarannya mudah membeli barang 
403,Lucu lu  ngasih promo giliran dipake kodenya gabisa lucu lu bener bener,Lucu lu  ngasih promo giliran dipake kodenya gabisa lucu lu bener bener
404,ok mantap potongan gopay,ok mantap potongan gopay
405,mantap,mantap
406,ok good,ok good
407,free ongkir membayar ongkir mahal  tinggal sulsel ongkir 70k ongkir membayar 30k sekrang mahal 70k 4555k,free ongkir membayar ongkir mahal  tinggal sulsel ongkir 70k ongkir membayar 30k sekrang mahal 70k 4555k
408,berlangganan Tokopedia 4  kali  paket  keterangan paket tujuan  penerima  jam rumah  istri  adik ayah paket  lihat foto aplikasi Tokopedia  Paket difoto meja kayu orangnya  komplain 9  keterangan diinfokan kurir paket diterima  COD  bayar,lihat foto aplikasi Tokopedia 
409,Aplikasinya berat,Aplikasinya berat
410,Ttttr4r4444wfwweTtrRrtT5ffwww4w43 de u free free 3 see free ded3 free 3e3 free3333333 free Evergreen 33 edge 3 free,Ttttr4r4444wfwweTtrRrtT5ffwww4w43 de u free free 3 see free ded3 free 3e3 free3333333 free Evergreen 33 edge 3 free
411,proses pembelian unit reksadana banget ,proses pembelian unit reksadana banget 
412,bagus cepat prosesnya,bagus cepat prosesnya
413,mantap,mantap
414,Tokped ga dikasi otp gopay laternya  disetujui  tp ga bs pakai,Tokped ga dikasi otp gopay laternya  disetujui  tp ga bs pakai
415,bayar COD gimana sih ribet,bayar COD gimana sih ribet
416,Saran aja pembulatan emas masuk biaya aplikasi dkk  masak udah dibulatkan keganjel nambah 3 ribu biaya aplikasi,Saran aja pembulatan emas masuk biaya aplikasi dkk  masak udah dibulatkan keganjel nambah 3 ribu biaya aplikasi
417,proses pengiriman  udah 2 pesanan proses blum kirim2  24jam proses mah cepet  paket dateng cepet  tolong balikin prosesnya ,24jam proses mah cepet  paket dateng cepet 
418,good,good
419,Biaya ongkir mahal   skarng ga sesuai dgan nilai barang berat yg beli  ,Biaya ongkir mahal   skarng ga sesuai dgan nilai barang berat yg beli  
420,bayar gopaylater  duit udh bayar tp ga bs ngebayar  gmn klo lupa keburu kepake duitnya aplikasi aneh  Orng udh niat bayar suruh nunggu  lupa orang kena denda  Betulin lg aplikasinya ga berkah lu makan duit riba,Orng udh niat bayar suruh nunggu  lupa orang kena denda 
421,klo belanja toko hijau  tp biaya udah ga berasa tuh gratis ongkirnya  beralih deh toko sebelah  coba tokped kaya  klo ga lama² pelanggannya pindah toko oren ,klo belanja toko hijau  tp biaya udah ga berasa tuh gratis ongkirnya  beralih deh toko sebelah  coba tokped kaya  klo ga lama² pelanggannya pindah toko oren 
422,bagus mantap,bagus mantap
423,mantap,mantap
424,Tokopedia biaya ongkirnya mahal2,Tokopedia biaya ongkirnya mahal2
425,,
426,Wahh gimana nihh Apk ToPed       Apk Update  Update  3 kali  jg  What Happen     Tolong FU hal2 Kenyamanan n Kepuasan Pengguna  Just that s It  Thx n GOD Bless,Tolong FU hal2 Kenyamanan n Kepuasan Pengguna  Just that s It  Thx n GOD Bless
427,PARAH PELAYANAN TOKOPEDIACARE  BELI PART MOTOR SESUAI  DISKUSIKAN PENJUAL  LAKUKAN KOMPLAIN PILIH PENGEMBALIAN BARANG DANA  SI PENJUAL MENYETUJUI PENUKARAN BARANG  LAPORKAN TOKOPEDIACARE DITELP  DISURUH PANTAU PUSAT RESOLUSI 3HARI PERUBAHAN  BUANG2 TERSELESAIKAN  SISTEM DIBOHONGI PENGGUNA DIBODOHI ,BUANG2 TERSELESAIKAN  SISTEM DIBOHONGI PENGGUNA DIBODOHI 
428,diandalkan selali,diandalkan selali
429,good,good
430,Gk merugikanudh top up gopay blnjaakhir nya uang trtahan gopaykrna transaksi batalkan,Gk merugikanudh top up gopay blnjaakhir nya uang trtahan gopaykrna transaksi batalkan
